Oman,10.0,13.0,36.0,6.0
Pakistan,25.0,33.0,46.0,12.0
Palau,4.0,6.0,21.0,5.0
Palestine,4.0,15.0,2.0,6.0
Panama,17.0,25.0,57.0,212.0
Papua New Guinea,41.0,39.0,61.0,179.0
Paraguay,10.0,27.0,0.0,20.0
Peru,53.0,119.0,52.0,328.0
Philippines,38.0,93.0,91.0,254.0
Poland,4.0,11.0,8.0,11.0
Portugal,13.0,15.0,67.0,101.0
Qatar,4.0,9.0,17.0,0.0
Rep. of Congo,15.0,7.0,57.0,46.0
Romania,9.0,17.0,22.0,7.0
Russia,34.0,57.0,39.0,56.0
Rwanda,24.0,20.0,7.0,41.0
Samoa,2.0,6.0,16.0,2.0
San Marino,0.0,0.0,0.0,0.0
Sao Tome and Principe,4.0,12.0,25.0,49.0
Saudi Arabia,11.0,18.0,41.0,4.0
Senegal,19.0,19.0,58.0,14.0
Serbia,6.0,13.0,15.0,6.0
Seychelles,6.0,13.0,24.0,61.0
Sierra Leone,22.0,16.0,57.0,72.0
Singapore,14.0,22.0,29.0,62.0
Slovak Republic,4.0,12.0,5.0,25.0
Slovenia,6.0,10.0,33.0,7.0
Solomon Islands,19.0,24.0,24.0,16.0
Somalia,16.0,21.0,31.0,49.0
South Africa,30.0,54.0,121.0,153.0
South Korea,12.0,33.0,28.0,31.0
South Sudan,14.0,21.0,0.0,17.0
Spain,17.0,19.0,83.0,247.0
Sri Lanka,30.0,16.0,57.0,297.0
St. Kitts and Nevis,2.0,3.0,30.0,2.0
St. Lucia,2.0,7.0,30.0,7.0
St. Vincent and the Grenadines,2.0,4.0,29.0,6.0
Sudan,16.0,26.0,32.0,17.0
Suriname,9.0,9.0,32.0,27.0
Sweden,1.0,11.0,15.0,5.0
Switzerland,3.0,9.0,9.0,4.0
Syria,14.0,17.0,51.0,26.0
Tajikistan,7.0,15.0,5.0,12.0
Tanzania,41.0,49.0,179.0,644.0
Thailand,59.0,62.0,106.0,159.0
Timor-Leste,5.0,6.0,13.0,2.0
Togo,13.0,13.0,38.0,13.0
Tonga,2.0,5.0,16.0,5.0
Trinidad and Tobago,2.0,5.0,37.0,50.0
Tunisia,14.0,11.0,39.0,9.0
Turkey,19.0,20.0,131.0,113.0
Turkmenistan,10.0,19.0,13.0,4.0
Tuvalu,2.0,1.0,13.0,0.0
Uganda,31.0,30.0,60.0,64.0
Ukraine,11.0,17.0,24.0,22.0
United Arab Emirates,8.0,13.0,20.0,0.0
United Kingdom,5.0,11.0,48.0,42.0
United States,40.0,91.0,251.0,510.0
Uruguay,10.0,22.0,45.0,22.0
Uzbekistan,10.0,19.0,7.0,16.0
Vanuatu,8.0,8.0,18.0,10.0
Venezuela,35.0,52.0,45.0,86.0
Vietnam,56.0,52.0,83.0,231.0
Yemen,11.0,16.0,40.0,163.0
Zambia,13.0,20.0,20.0,23.0
Zimbabwe,10.0,19.0,3.0,52.0
